Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
PA;Aaronsburg CDP (Centre County);99.2;0.2;0;0;0.5
PA;Aaronsburg CDP (Washington County);90.7;1.5;1.2;0;1.5
AL;Abanda CDP;67.2;30.2;0;0;1.6
AL;Abbeville city;54.4;41.4;0.1;1;3.1
GA;Abbeville city;41;55.8;0.1;0.5;5.3
LA;Abbeville city;50;41;0.3;5.2;3.1
SC;Abbeville city;46.9;50.5;0.2;0.4;0.9
MS;Abbeville town;90.2;8.8;0;0;0.5
WI;Abbotsford city;81.9;0.1;0.3;0.7;25
TX;Abbott city;96.1;2;1.1;0.3;6.5
PA;Abbottstown borough;92.7;1.4;0.1;1;9.4
KS;Abbyville city;96.6;0;1.1;0;1.1
ND;Abercrombie city;98.5;0.4;0.8;0;0.4
IN;Aberdeen CDP;91.1;3.3;0;2.6;5.4
ID;Aberdeen city;60.2;0.1;0.7;0.1;54.1
MD;Aberdeen city;58.9;30.5;0.4;2.9;5.4
MS;Aberdeen city;28.8;69.2;0.1;0.2;1
SD;Aberdeen city;91.8;0.7;3.6;1.3;1.6
WA;Aberdeen city;80.4;0.8;3.7;1.9;15.8
WA;Aberdeen Gardens CDP;91;0;1.8;2.2;5
MD;Aberdeen Proving Ground CDP;65.7;21.5;0.8;2.1;14.7
NC;Aberdeen town;67.9;24.7;1.3;1.8;5.1
OH;Aberdeen village;96.2;1.8;0.1;0.2;0.9
TX;Abernathy city;79.9;2.5;0.7;0.1;47.7
NM;Abeytas CDP;82.1;0;0;0;58.9
NE;Abie village;100;0;0;0;0
KS;Abilene city;94.9;0.9;0.4;0.2;4.7
TX;Abilene city;75.5;9.6;0.7;1.7;24.5
IL;Abingdon city;96.3;1.1;0.2;0.4;1.7
VA;Abingdon town;93.8;3.1;0.2;1;2.6
MA;Abington CDP;92.5;2.1;0.3;1.8;1.9
NM;Abiquiu CDP;46.8;0;9.1;0;92.2
LA;Abita Springs town;92;4.5;0.5;0.3;3.1
TX;Abram CDP;99.3;0.1;0;0;99.3
WI;Abrams CDP;99.1;0.3;0;0;0.9
MT;Absarokee CDP;96.5;0;1.4;0.2;3.7
NJ;Absecon city;76.4;9.9;0.4;7.9;7.5
FL;Acacia Villas CDP;76.6;10.5;0;3.7;63.2
CA;Acalanes Ridge CDP;83.6;0.4;0.7;11.1;4.4
CA;Acampo CDP;49.6;0;0.3;0.9;58.4
MD;Accident town;97.8;0;0.6;0.3;0.6
MD;Accokeek CDP;24.9;64.4;0.5;5.5;4.7
VA;Accomac town;75;20.4;0;0.6;8.7
NY;Accord CDP;91.3;2.7;1.1;0.9;7.1
WV;Accoville CDP;96.9;1.4;0.3;0;1.9
ID;Acequia city;66.9;0.8;4;0;43.5
OK;Achille town;68.3;1.2;19.5;0;1.6
TX;Ackerly city;84.5;0;1.8;0;49.1
MS;Ackerman town;57.3;41.5;0.1;0.1;0.3
PA;Ackermanville CDP;98.2;0.5;1;0.2;2.5
IA;Ackley city;94.8;0.1;0.1;0;8.8
IA;Ackworth city;100;0;0;0;1.2
WA;Acme CDP;91.5;0.4;1.2;0;2.8
NM;Acomita Lake CDP;3.4;0;93.3;0;3.1
CO;Acres Green CDP;88.1;1.7;0.5;1.6;12.3
CA;Acton CDP;86.4;0.8;0.9;2;18.1
MA;Acushnet Center CDP;96.3;0.5;0.3;0.4;1.1
GA;Acworth city;62.5;25.6;0.3;3.5;12.4
KS;Ada CDP;95;0;1;0;1
MN;Ada city;94.9;0.2;1.1;0.5;5.6
OK;Ada city;68.2;4.2;17;1.2;5.6
OH;Ada village;93.5;1.9;0.1;1.9;1.6
IL;Adair CDP;98.6;0.5;1;0;0.5
IA;Adair city;98.1;0;0.1;0.5;1.3
OK;Adair town;72.4;0.1;18.9;0;3.5
OR;Adair Village city;88.5;1.2;1.4;1.9;6.7
GA;Adairsville city;81;13.8;0.3;0.8;5.4
KY;Adairville city;79.6;15.1;0.5;0;4.1
AK;Adak city;19.6;4;5.5;52.5;8.9
MA;Adams CDP;96.7;0.6;0.2;0.6;1
NY;Adams Center CDP;95.5;1.5;0.1;0.4;1.3
MN;Adams city;98.3;0;0;0;1.7
ND;Adams city;95.3;0;0;0;8.7
OR;Adams city;91.4;0.3;2;0;6.9
TN;Adams city;93.5;3.2;0.5;0.9;2.5
WI;Adams city;94.8;1.3;0.9;0.5;2.3
NE;Adams village;99.7;0;0;0.2;0.7
NY;Adams village;97.4;0.7;0.1;0.5;0.7
PA;Adamsburg borough;97.7;1.2;0;1.2;0.6
PA;Adamstown borough;92.3;1.1;0.3;4.4;1.7
MD;Adamstown CDP;86.3;6.7;0;3.6;5.6
PA;Adamsville CDP;91;9;0;0;0
AL;Adamsville city;52.3;44.9;0.5;0.3;2.3
TN;Adamsville town;95.7;1.3;0.5;0.1;1.7
OH;Adamsville village;99.1;0;0;0;0
IL;Addieville village;100;0;0;0;0
OK;Addington town;81.6;0.9;6.1;1.8;7.9
LA;Addis town;69.1;28.4;0.2;0.8;1.8
WV;Addison (Webster Springs) town;99.2;0.1;0.1;0;0.3
PA;Addison borough;98.1;0.5;1;0;0
AL;Addison town;99.1;0.1;0;0.1;0.4
TX;Addison town;67.7;11.8;0.4;7.4;25.2
IL;Addison village;67.6;3.9;0.5;7.4;40.1
MI;Addison village;97;0.5;0;0;1
NY;Addison village;96.9;0.5;0.2;0.7;1.8
WA;Addy CDP;83.6;0.4;5.6;0;3
OH;Addyston village;89.7;5.7;0.2;0.2;1.9
GA;Adel city;46.9;45.4;0.2;1;7.9
IA;Adel city;97.6;0.3;0.2;0.5;2.1
CA;Adelanto city;43.8;20.5;1.3;1.9;58.3
IL;Adeline village;98.8;0;1.2;0;1.2
NM;Adelino CDP;78.1;1.2;1.3;0.4;62.8
WI;Adell village;95.3;0.2;0.2;1.9;3.5
MD;Adelphi CDP;25.4;36.7;1.4;7.8;42.1
OH;Adelphi village;95;1.6;0;0.3;0
OH;Adena village;97.9;0.3;0;0;0.4
CA;Adin CDP;88.2;0.7;2.9;0;11.8
KS;Admire city;95.5;0;0;0;7.1
AR;Adona city;100;0;0;0;1
GA;Adrian city;61.1;32.1;0.6;0.3;5
MI;Adrian city;84.1;4.4;0.6;0.9;18.8
