state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
PA;Aaronsburg ;99.2;0.2;0;0;0.5;52708;92.2;8.5
PA;Aaronsburg ;90.7;1.5;1.2;0;1.5;60268;83.1;29.5
AL;Abanda ;67.2;30.2;0;0;1.6;11207;21.2;78.8
AL;Abbeville ;54.4;41.4;0.1;1;3.1;25615;69.1;29.1
GA;Abbeville ;41;55.8;0.1;0.5;5.3;21447;69.4;37.7
LA;Abbeville ;50;41;0.3;5.2;3.1;28158;70;28.1
SC;Abbeville ;46.9;50.5;0.2;0.4;0.9;20440;79.5;38.9
MS;Abbeville town;90.2;8.8;0;0;0.5;49583;80;10.4
WI;Abbotsford ;81.9;0.1;0.3;0.7;25;38611;77.8;15.2
TX;Abbott ;96.1;2;1.1;0.3;6.5;65000;92.4;9.7
PA;Abbottstown borough;92.7;1.4;0.1;1;9.4;56641;80.7;7.8
KS;Abbyville ;96.6;0;1.1;0;1.1;42500;95.5;8.7
ND;Abercrombie ;98.5;0.4;0.8;0;0.4;80313;95.2;20.3
IN;Aberdeen ;91.1;3.3;0;2.6;5.4;105550;99.3;1.4
ID;Aberdeen ;60.2;0.1;0.7;0.1;54.1;38649;57.6;12.3
MD;Aberdeen ;58.9;30.5;0.4;2.9;5.4;51821;86.7;15.4
MS;Aberdeen ;28.8;69.2;0.1;0.2;1;30357;74.4;35
SD;Aberdeen ;91.8;0.7;3.6;1.3;1.6;47290;91.7;12
WA;Aberdeen ;80.4;0.8;3.7;1.9;15.8;40958;85;23.3
WA;Aberdeen Gardens;91;0;1.8;2.2;5;55966;91.1;1.5
MD;Aberdeen Proving;65.7;21.5;0.8;2.1;14.7;76833;100;7
NC;Aberdeen town;67.9;24.7;1.3;1.8;5.1;46932;85.8;17
OH;Aberdeen village;96.2;1.8;0.1;0.2;0.9;26603;76.8;28.1
TX;Abernathy ;79.9;2.5;0.7;0.1;47.7;45000;74.3;17.7
NM;Abeytas ;82.1;0;0;0;58.9;NA;100;0
NE;Abie village;100;0;0;0;0;68750;96.1;7.7
KS;Abilene ;94.9;0.9;0.4;0.2;4.7;49813;85.2;10
TX;Abilene ;75.5;9.6;0.7;1.7;24.5;43189;83.5;19.1
IL;Abingdon ;96.3;1.1;0.2;0.4;1.7;36169;86.5;21.8
VA;Abingdon town;93.8;3.1;0.2;1;2.6;39405;85;17.5
MA;Abington ;92.5;2.1;0.3;1.8;1.9;80148;96.3;2.9
NM;Abiquiu ;46.8;0;9.1;0;92.2;NA;100;0
LA;Abita Springs;92;4.5;0.5;0.3;3.1;67250;92.5;6.4
TX;Abram ;99.3;0.1;0;0;99.3;22379;35;44.7
WI;Abrams ;99.1;0.3;0;0;0.9;65500;91.2;2
MT;Absarokee ;96.5;0;1.4;0.2;3.7;34961;94;8.5
NJ;Absecon ;76.4;9.9;0.4;7.9;7.5;63656;87.5;4.9
FL;Acacia Villas;76.6;10.5;0;3.7;63.2;33564;81.7;33.6
CA;Acalanes Ridge;83.6;0.4;0.7;11.1;4.4;156953;100;2.5
CA;Acampo ;49.6;0;0.3;0.9;58.4;152713;77.1;0
MD;Accident town;97.8;0;0.6;0.3;0.6;44167;86.2;13.2
MD;Accokeek ;24.9;64.4;0.5;5.5;4.7;123559;94.6;2.5
VA;Accomac town;75;20.4;0;0.6;8.7;39659;82.5;9.4
NY;Accord ;91.3;2.7;1.1;0.9;7.1;112083;93;6
WV;Accoville ;96.9;1.4;0.3;0;1.9;36667;69.7;20.4
ID;Acequia ;66.9;0.8;4;0;43.5;NA;55.1;19.3
OK;Achille town;68.3;1.2;19.5;0;1.6;36389;78.4;12.9
TX;Ackerly ;84.5;0;1.8;0;49.1;26500;38.3;20.9
MS;Ackerman town;57.3;41.5;0.1;0.1;0.3;23448;80.9;29.2
PA;Ackermanville ;98.2;0.5;1;0.2;2.5;90775;84.3;0
IA;Ackley ;94.8;0.1;0.1;0;8.8;44063;87.1;13.8
IA;Ackworth ;100;0;0;0;1.2;40000;75.8;0
WA;Acme ;91.5;0.4;1.2;0;2.8;NA;0;100
NM;Acomita Lake;3.4;0;93.3;0;3.1;24250;84;43.2
CO;Acres Green;88.1;1.7;0.5;1.6;12.3;84479;98.1;5.1
CA;Acton ;86.4;0.8;0.9;2;18.1;89150;88.2;7.6
MA;Acushnet Center;96.3;0.5;0.3;0.4;1.1;53897;77.3;8.9
GA;Acworth ;62.5;25.6;0.3;3.5;12.4;53080;90.7;9.6
KS;Ada ;95;0;1;0;1;39423;71.7;0
MN;Ada ;94.9;0.2;1.1;0.5;5.6;38264;89.2;16.9
OK;Ada ;68.2;4.2;17;1.2;5.6;35330;87.1;24.3
OH;Ada village;93.5;1.9;0.1;1.9;1.6;38290;88;22.3
IL;Adair ;98.6;0.5;1;0;0.5;NA;94.1;0
IA;Adair ;98.1;0;0.1;0.5;1.3;48188;95.1;15.9
OK;Adair town;72.4;0.1;18.9;0;3.5;42083;88.8;26.4
OR;Adair Village;88.5;1.2;1.4;1.9;6.7;57150;98.5;13.4
GA;Adairsville ;81;13.8;0.3;0.8;5.4;43578;80.9;17.2
KY;Adairville ;79.6;15.1;0.5;0;4.1;31495;72.8;23.7
AK;Adak ;19.6;4;5.5;52.5;8.9;78500;93.4;39.3
MA;Adams ;96.7;0.6;0.2;0.6;1;44926;87.8;10.7
NY;Adams Center;95.5;1.5;0.1;0.4;1.3;33849;88.7;14
MN;Adams ;98.3;0;0;0;1.7;45417;91;12.9
ND;Adams ;95.3;0;0;0;8.7;27292;84.9;22.7
OR;Adams ;91.4;0.3;2;0;6.9;56667;91.6;14.1
TN;Adams ;93.5;3.2;0.5;0.9;2.5;56667;86.4;20.8
WI;Adams ;94.8;1.3;0.9;0.5;2.3;28341;82.7;21.1
NE;Adams village;99.7;0;0;0.2;0.7;58281;90.1;11.1
NY;Adams village;97.4;0.7;0.1;0.5;0.7;40341;91.4;18
PA;Adamsburg borough;97.7;1.2;0;1.2;0.6;49583;91.3;18.7
PA;Adamstown borough;92.3;1.1;0.3;4.4;1.7;65862;91.7;4.2
MD;Adamstown ;86.3;6.7;0;3.6;5.6;150410;97.3;2.2
PA;Adamsville ;91;9;0;0;0;29375;81;5.9
AL;Adamsville ;52.3;44.9;0.5;0.3;2.3;42575;78.9;25.5
TN;Adamsville town;95.7;1.3;0.5;0.1;1.7;30392;70.2;24.3
OH;Adamsville village;99.1;0;0;0;0;29792;90.8;37.6
IL;Addieville village;100;0;0;0;0;69375;84.5;5.5
OK;Addington town;81.6;0.9;6.1;1.8;7.9;48750;90.4;16.8
LA;Addis town;69.1;28.4;0.2;0.8;1.8;60063;88.6;17
WV;Addison (Webster;99.2;0.1;0.1;0;0.3;35595;79.8;17.8
PA;Addison borough;98.1;0.5;1;0;0;44375;86.5;8.9
AL;Addison town;99.1;0.1;0;0.1;0.4;37083;81.4;30.7
TX;Addison town;67.7;11.8;0.4;7.4;25.2;67695;94;10
IL;Addison village;67.6;3.9;0.5;7.4;40.1;54928;78.4;15.8
MI;Addison village;97;0.5;0;0;1;41875;93.2;11.9
NY;Addison village;96.9;0.5;0.2;0.7;1.8;49821;92.6;13.5
WA;Addy ;83.6;0.4;5.6;0;3;9167;100;100
OH;Addyston village;89.7;5.7;0.2;0.2;1.9;35781;79.3;16
GA;Adel ;46.9;45.4;0.2;1;7.9;35301;75.9;30.3
IA;Adel ;97.6;0.3;0.2;0.5;2.1;56319;92.2;8.9
CA;Adelanto ;43.8;20.5;1.3;1.9;58.3;33298;67.5;40.3
IL;Adeline village;98.8;0;1.2;0;1.2;50417;84.3;13.3
NM;Adelino ;78.1;1.2;1.3;0.4;62.8;45828;80.6;5.9
WI;Adell village;95.3;0.2;0.2;1.9;3.5;68000;96.1;5.2
MD;Adelphi ;25.4;36.7;1.4;7.8;42.1;66555;78.3;13.2
OH;Adelphi village;95;1.6;0;0.3;0;31641;74.2;32.1
OH;Adena village;97.9;0.3;0;0;0.4;36818;88.7;18.3
CA;Adin ;88.2;0.7;2.9;0;11.8;NA;100;12.6
KS;Admire ;95.5;0;0;0;7.1;36750;93.9;17.2
AR;Adona ;100;0;0;0;1;NA;79.3;18.9
GA;Adrian ;61.1;32.1;0.6;0.3;5;24861;74.3;38.5
MI;Adrian ;84.1;4.4;0.6;0.9;18.8;31805;82.1;29.6
MN;Adrian ;95.3;0.4;0;1.2;4.1;49250;92.5;9.4
MO;Adrian ;98.2;0.2;0.5;0;0.7;37368;84.4;14.8
OR;Adrian ;89.8;0;0.6;1.1;27.1;37083;82.7;14.3
TX;Adrian ;90.4;2.4;0;3;9.6;42500;74.3;18
MI;Advance ;98.5;0;0.9;0.3;0;65179;97.1;2.2
NC;Advance ;94.5;2.2;0.9;0.1;1.9;53750;93.4;14.5
